K,S_mean,S_std,W_mean,W_std,condition,forecast_derivative_mae,forecast_mae,forecast_rmse,mask_density,mask_family,mask_kind,max_support,method,num_masks,task
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,uniform,20,regression
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,replan_last,20,regression
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,replan_mean,20,regression
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,replan_ewma,20,regression
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,replan_trend,20,regression
1,135.0608913979933,2.4946755240424885,0.166,0.08192137151629672,nodrift,,,,0.05,window_1,sliding_window,1,replan_blend,20,regression
3,234.51647209096987,6.260998541777575,0.15111111111111108,0.13971806360995373,nodrift,,,,0.15,window_3,sliding_window,3,uniform,18,regression
3,241.68995986622068,7.528294076719782,0.14666666666666664,0.13688680453760244,nodrift,6.479112946939178,19.508549700841577,31.232473601909938,0.15,window_3,sliding_window,3,replan_last,18,regression
3,239.66041303545154,6.739278536390534,0.14777777777777776,0.1372734333753701,nodrift,5.294526822175669,15.478322268947618,24.795957646751344,0.15,window_3,sliding_window,3,replan_mean,18,regression
3,239.81223974849493,7.076599720262112,0.14888888888888885,0.13832771027835214,nodrift,5.4078002033854595,15.820815229042125,25.34816433565534,0.15,window_3,sliding_window,3,replan_ewma,18,regression
3,248.06538414983277,10.707243481293862,0.1411111111111111,0.14266363178607686,nodrift,12.81814775476526,51.45885150327944,95.81163373213185,0.15,window_3,sliding_window,3,replan_trend,18,regression
3,241.53943081739126,7.236596695784276,0.14555555555555555,0.13987417073519226,nodrift,7.9264782266861245,27.460402468496618,49.43809947358545,0.15,window_3,sliding_window,3,replan_blend,18,regression
5,312.6124998207358,9.35555220891028,0.111875,0.16290620364758576,nodrift,,,,0.25,window_5,sliding_window,5,uniform,16,regression
5,315.7917771451505,13.339724688343614,0.12875,0.16874181611281333,nodrift,6.479112946939178,19.508549700841577,31.232473601909938,0.25,window_5,sliding_window,5,replan_last,16,regression
5,308.66760061003345,10.04998023910502,0.12,0.16706392050755167,nodrift,5.294526822175669,15.478322268947618,24.795957646751344,0.25,window_5,sliding_window,5,replan_mean,16,regression
5,309.5902398662207,9.364555790884811,0.1175,0.16217430453220713,nodrift,5.4078002033854595,15.820815229042125,25.34816433565534,0.25,window_5,sliding_window,5,replan_ewma,16,regression
5,335.15033189030095,22.920778916491496,0.128125,0.16195396800487863,nodrift,12.81814775476526,51.45885150327944,95.81163373213185,0.25,window_5,sliding_window,5,replan_trend,16,regression
5,313.9646659317725,13.265716885926553,0.1225,0.173832686886854,nodrift,7.9264782266861245,27.460402468496618,49.43809947358545,0.25,window_5,sliding_window,5,replan_blend,16,regression
7,344.7322844468227,10.150800092447806,0.13214285714285715,0.21329134365677285,nodrift,,,,0.35,window_7,sliding_window,7,uniform,14,regression
7,362.4895215518394,14.845045784442586,0.1357142857142857,0.21040252574684415,nodrift,6.479112946939178,19.508549700841577,31.232473601909938,0.35,window_7,sliding_window,7,replan_last,14,regression
7,356.21012442006673,14.443542546568608,0.1357142857142857,0.21089183460707375,nodrift,5.294526822175669,15.478322268947618,24.795957646751344,0.35,window_7,sliding_window,7,replan_mean,14,regression
7,357.38061754113704,15.096035908013944,0.1307142857142857,0.21102741671166608,nodrift,5.4078002033854595,15.820815229042125,25.34816433565534,0.35,window_7,sliding_window,7,replan_ewma,14,regression
7,393.6438440026756,31.615581958605812,0.13214285714285715,0.21183665426232026,nodrift,12.81814775476526,51.45885150327944,95.81163373213185,0.35,window_7,sliding_window,7,replan_trend,14,regression
7,362.6491342501672,16.079654464148046,0.13285714285714284,0.2170385942441244,nodrift,7.9264782266861245,27.460402468496618,49.43809947358545,0.35,window_7,sliding_window,7,replan_blend,14,regression
9,396.4649660040133,14.757346104263812,0.13,0.23875377903473488,nodrift,,,,0.45,window_9,sliding_window,9,uniform,12,regression
9,394.8117417953178,18.843348175264957,0.12083333333333333,0.22453812176488308,nodrift,6.479112946939178,19.508549700841577,31.232473601909938,0.45,window_9,sliding_window,9,replan_last,12,regression
9,393.9526880856187,18.899767012841203,0.10916666666666666,0.21669094658053054,nodrift,5.294526822175669,15.478322268947618,24.795957646751344,0.45,window_9,sliding_window,9,replan_mean,12,regression
9,394.3731312909698,18.308208234663006,0.12416666666666666,0.2340582174550792,nodrift,5.4078002033854595,15.820815229042125,25.34816433565534,0.45,window_9,sliding_window,9,replan_ewma,12,regression
9,439.34887528561876,38.42009567450697,0.11833333333333335,0.21973992381669621,nodrift,12.81814775476526,51.45885150327944,95.81163373213185,0.45,window_9,sliding_window,9,replan_trend,12,regression
9,401.02106505953185,21.53473471949971,0.13,0.2363916930598434,nodrift,7.9264782266861245,27.460402468496618,49.43809947358545,0.45,window_9,sliding_window,9,replan_blend,12,regression
20,491.46177245752506,21.485327808350103,0.18,0.38612291966536916,nodrift,,,,1.0,all_ones,sliding_window,20,uniform,1,regression
20,508.339193225418,23.540995936792836,0.17,0.3775251680686369,nodrift,6.479112946939178,19.508549700841577,31.232473601909938,1.0,all_ones,sliding_window,20,replan_last,1,regression
20,515.3881052361203,30.643305246805053,0.17,0.3775251680686369,nodrift,5.294526822175669,15.478322268947618,24.795957646751344,1.0,all_ones,sliding_window,20,replan_mean,1,regression
20,513.2560429324412,27.140080426753194,0.15,0.3588702812826367,nodrift,5.4078002033854595,15.820815229042125,25.34816433565534,1.0,all_ones,sliding_window,20,replan_ewma,1,regression
20,612.3729332655516,67.39358271685848,0.14,0.348735088019777,nodrift,12.81814775476526,51.45885150327944,95.81163373213185,1.0,all_ones,sliding_window,20,replan_trend,1,regression
20,547.9179517538462,47.6758036195921,0.18,0.38612291966536916,nodrift,7.9264782266861245,27.460402468496618,49.43809947358545,1.0,all_ones,sliding_window,20,replan_blend,1,regression
